 Sample   Time     Commanded 1 Pos   Encoder 3 Pos 

[    0    0.000               0            -121;
     1    0.009            2000            -122;
     2    0.018            2000            -122;
     3    0.027            2000            -120;
     4    0.035            2000            -117;
     5    0.044            2000            -112;
     6    0.053            2000            -105;
     7    0.062            2000             -98;
     8    0.071            2000             -88;
     9    0.080            2000             -78;
    10    0.089            2000             -67;
    11    0.097            2000             -53;
    12    0.106            2000             -39;
    13    0.115            2000             -23;
    14    0.124            2000              -6;
    15    0.133            2000              12;
    16    0.142            2000              32;
    17    0.151            2000              53;
    18    0.159            2000              75;
    19    0.168            2000              99;
    20    0.177            2000             124;
    21    0.186            2000             151;
    22    0.195            2000             178;
    23    0.204            2000             208;
    24    0.213            2000             238;
    25    0.221            2000             270;
    26    0.230            2000             303;
    27    0.239            2000             337;
    28    0.248            2000             373;
    29    0.257            2000             411;
    30    0.266            2000             449;
    31    0.274            2000             489;
    32    0.283            2000             530;
    33    0.292            2000             573;
    34    0.301            2000             617;
    35    0.310            2000             662;
    36    0.319            2000             708;
    37    0.328            2000             756;
    38    0.336            2000             805;
    39    0.345            2000             855;
    40    0.354            2000             907;
    41    0.363            2000             960;
    42    0.372            2000            1014;
    43    0.381            2000            1068;
    44    0.390            2000            1124;
    45    0.398            2000            1181;
    46    0.407            2000            1238;
    47    0.416            2000            1297;
    48    0.425            2000            1355;
    49    0.434            2000            1415;
    50    0.443            2000            1474;
    51    0.452            2000            1534;
    52    0.460            2000            1594;
    53    0.469            2000            1654;
    54    0.478            2000            1715;
    55    0.487            2000            1775;
    56    0.496            2000            1834;
    57    0.505            2000            1893;
    58    0.514            2000            1952;
    59    0.522            2000            2011;
    60    0.531            2000            2068;
    61    0.540            2000            2125;
    62    0.549            2000            2181;
    63    0.558            2000            2236;
    64    0.567            2000            2290;
    65    0.576            2000            2343;
    66    0.584            2000            2394;
    67    0.593            2000            2445;
    68    0.602            2000            2494;
    69    0.611            2000            2541;
    70    0.620            2000            2587;
    71    0.629            2000            2632;
    72    0.638            2000            2674;
    73    0.646            2000            2715;
    74    0.655            2000            2755;
    75    0.664            2000            2792;
    76    0.673            2000            2828;
    77    0.682            2000            2862;
    78    0.691            2000            2894;
    79    0.699            2000            2924;
    80    0.708            2000            2952;
    81    0.717            2000            2978;
    82    0.726            2000            3002;
