 Sample   Time     Commanded 1 Pos   Encoder 3 Pos 

[    0    0.000               0              14;
     1    0.009            2000              14;
     2    0.018            2000              16;
     3    0.027            2000              20;
     4    0.035            2000              25;
     5    0.044            2000              31;
     6    0.053            2000              39;
     7    0.062            2000              49;
     8    0.071            2000              59;
     9    0.080            2000              71;
    10    0.089            2000              85;
    11    0.097            2000             100;
    12    0.106            2000             116;
    13    0.115            2000             134;
    14    0.124            2000             153;
    15    0.133            2000             173;
    16    0.142            2000             195;
    17    0.151            2000             218;
    18    0.159            2000             242;
    19    0.168            2000             268;
    20    0.177            2000             295;
    21    0.186            2000             323;
    22    0.195            2000             353;
    23    0.204            2000             384;
    24    0.213            2000             417;
    25    0.221            2000             451;
    26    0.230            2000             486;
    27    0.239            2000             523;
    28    0.248            2000             561;
    29    0.257            2000             600;
    30    0.266            2000             641;
    31    0.274            2000             683;
    32    0.283            2000             727;
    33    0.292            2000             772;
    34    0.301            2000             818;
    35    0.310            2000             866;
    36    0.319            2000             915;
    37    0.328            2000             965;
    38    0.336            2000            1016;
    39    0.345            2000            1069;
    40    0.354            2000            1122;
    41    0.363            2000            1176;
    42    0.372            2000            1232;
    43    0.381            2000            1287;
    44    0.390            2000            1344;
    45    0.398            2000            1400;
    46    0.407            2000            1458;
    47    0.416            2000            1515;
    48    0.425            2000            1573;
    49    0.434            2000            1630;
    50    0.443            2000            1688;
    51    0.452            2000            1745;
    52    0.460            2000            1803;
    53    0.469            2000            1860;
    54    0.478            2000            1916;
    55    0.487            2000            1972;
    56    0.496            2000            2028;
    57    0.505            2000            2082;
    58    0.514            2000            2136;
    59    0.522            2000            2189;
    60    0.531            2000            2242;
    61    0.540            2000            2293;
    62    0.549            2000            2343;
    63    0.558            2000            2391;
    64    0.567            2000            2439;
    65    0.576            2000            2486;
    66    0.584            2000            2531;
    67    0.593            2000            2574;
    68    0.602            2000            2616;
    69    0.611            2000            2657;
    70    0.620            2000            2696;
    71    0.629            2000            2733;
    72    0.638            2000            2768;
    73    0.646            2000            2802;
    74    0.655            2000            2834;
    75    0.664            2000            2864;
    76    0.673            2000            2892;
    77    0.682            2000            2918;
    78    0.691            2000            2942;
    79    0.699            2000            2964;
    80    0.708            2000            2985;
    81    0.717            2000            3003;
    82    0.726            2000            3018;
    83    0.735            2000            3032;
    84    0.744            2000            3043;
    85    0.753            2000            3053;
    86    0.761            2000            3060;
    87    0.770            2000            3065;
    88    0.779            2000            3068;
    89    0.788            2000            3069;
    90    0.797            2000            3069;
    91    0.806            2000            3065;
    92    0.815            2000            3059;
    93    0.823            2000            3052;
    94    0.832            2000            3042;
    95    0.841            2000            3031;
    96    0.850            2000            3018;
    97    0.859            2000            3003;
    98    0.868            2000            2988;
    99    0.877            2000            2970;
   100    0.885            2000            2951;
   101    0.894            2000            2931;
   102    0.903            2000            2910;
   103    0.912            2000            2887;
   104    0.921            2000            2863;
   105    0.930            2000            2838;
   106    0.939            2000            2812;
   107    0.947            2000            2784;
   108    0.956            2000            2756;
   109    0.965            2000            2727;
   110    0.974            2000            2697;
   111    0.983            2000            2666;
   112    0.992            2000            2634;
   113    1.001            2000            2602;
   114    1.009            2000            2569;
   115    1.018            2000            2535;
   116    1.027            2000            2501;
   117    1.036            2000            2466;
   118    1.045            2000            2431;
   119    1.054            2000            2395;
   120    1.063            2000            2359;
   121    1.071            2000            2323;
   122    1.080            2000            2287;
   123    1.089            2000            2250;
   124    1.098            2000            2214;
   125    1.107            2000            2177;
   126    1.116            2000            2141;
   127    1.124            2000            2105;
   128    1.133            2000            2069;
   129    1.142            2000            2033;
   130    1.151            2000            1997;
   131    1.160            2000            1962;
   132    1.169            2000            1927;
   133    1.178            2000            1893;
   134    1.186            2000            1859;
   135    1.195            2000            1826;
   136    1.204            2000            1793;
   137    1.213            2000            1761;
   138    1.222            2000            1729;
   139    1.231            2000            1699;
   140    1.240            2000            1669;
   141    1.248            2000            1640;
   142    1.257            2000            1612;
   143    1.266            2000            1585;
   144    1.275            2000            1559;
   145    1.284            2000            1534;
   146    1.293            2000            1510;
   147    1.302            2000            1487;
   148    1.310            2000            1465;
   149    1.319            2000            1444;
   150    1.328            2000            1424;
   151    1.337            2000            1406;
   152    1.346            2000            1388;
   153    1.355            2000            1372;
   154    1.364            2000            1357;
   155    1.372            2000            1344;
   156    1.381            2000            1331;
   157    1.390            2000            1320;
   158    1.399            2000            1310;
   159    1.408            2000            1302;
   160    1.417            2000            1295;
   161    1.426            2000            1289;
   162    1.434            2000            1284;
   163    1.443            2000            1280;
   164    1.452            2000            1277;
   165    1.461            2000            1275;
   166    1.470            2000            1273;
   167    1.479            2000            1273;
   168    1.488            2000            1273;
   169    1.496            2000            1273;
   170    1.505            2000            1275;
   171    1.514            2000            1279;
   172    1.523            2000            1283;
   173    1.532            2000            1287;
   174    1.541            2000            1292;
   175    1.549            2000            1298;
   176    1.558            2000            1305;
   177    1.567            2000            1312;
   178    1.576            2000            1321;
   179    1.585            2000            1329;
   180    1.594            2000            1339;
   181    1.603            2000            1349;
   182    1.611            2000            1359;
   183    1.620            2000            1371;
   184    1.629            2000            1383;
   185    1.638            2000            1395;
   186    1.647            2000            1408;
   187    1.656            2000            1421;
   188    1.665            2000            1435;
   189    1.673            2000            1450;
   190    1.682            2000            1464;
   191    1.691            2000            1480;
   192    1.700            2000            1495;
   193    1.709            2000            1511;
   194    1.718            2000            1528;
   195    1.727            2000            1545;
   196    1.735            2000            1562;
   197    1.744            2000            1579;
   198    1.753            2000            1597;
   199    1.762            2000            1615;
   200    1.771            2000            1633;
   201    1.780            2000            1651;
   202    1.789            2000            1669;
   203    1.797            2000            1687;
   204    1.806            2000            1706;
   205    1.815            2000            1724;
   206    1.824            2000            1743;
   207    1.833            2000            1762;
   208    1.842            2000            1780;
   209    1.851            2000            1798;
   210    1.859            2000            1817;
   211    1.868            2000            1835;
   212    1.877            2000            1853;
   213    1.886            2000            1870;
   214    1.895            2000            1888;
   215    1.904            2000            1905;
   216    1.913            2000            1922;
   217    1.921            2000            1939;
   218    1.930            2000            1955;
   219    1.939            2000            1971;
   220    1.948            2000            1986;
   221    1.957            2000            2001;
   222    1.966            2000            2015;
   223    1.974            2000            2029;
   224    1.983            2000            2043;
   225    1.992            2000            2056;
   226    2.001            2000            2068;
   227    2.010            2000            2080;
   228    2.019            2000            2091;
   229    2.028            2000            2102;
   230    2.036            2000            2111;
   231    2.045            2000            2121;
   232    2.054            2000            2130;
   233    2.063            2000            2138;
   234    2.072            2000            2145;
   235    2.081            2000            2152;
   236    2.090            2000            2158;
   237    2.098            2000            2163;
   238    2.107            2000            2168;
   239    2.116            2000            2172;
   240    2.125            2000            2176;
   241    2.134            2000            2178;
   242    2.143            2000            2180;
   243    2.152            2000            2182;
   244    2.160            2000            2183;
