 Sample   Time     Commanded 1 Pos   Encoder 3 Pos 

[    0    0.000               0              10;
     1    0.009            2000              10;
     2    0.018            2000              13;
     3    0.027            2000              16;
     4    0.035            2000              21;
     5    0.044            2000              28;
     6    0.053            2000              37;
     7    0.062            2000              46;
     8    0.071            2000              57;
     9    0.080            2000              69;
    10    0.089            2000              83;
    11    0.097            2000              98;
    12    0.106            2000             115;
    13    0.115            2000             133;
    14    0.124            2000             153;
    15    0.133            2000             173;
    16    0.142            2000             196;
    17    0.151            2000             219;
    18    0.159            2000             244;
    19    0.168            2000             270;
    20    0.177            2000             298;
    21    0.186            2000             327;
    22    0.195            2000             357;
    23    0.204            2000             389;
    24    0.213            2000             422;
    25    0.221            2000             456;
    26    0.230            2000             492;
    27    0.239            2000             529;
    28    0.248            2000             567;
    29    0.257            2000             607;
    30    0.266            2000             648;
    31    0.274            2000             690;
    32    0.283            2000             733;
    33    0.292            2000             778;
    34    0.301            2000             824;
    35    0.310            2000             871;
    36    0.319            2000             919;
    37    0.328            2000             969;
    38    0.336            2000            1019;
    39    0.345            2000            1071;
    40    0.354            2000            1124;
    41    0.363            2000            1177;
    42    0.372            2000            1231;
    43    0.381            2000            1285;
    44    0.390            2000            1341;
    45    0.398            2000            1397;
    46    0.407            2000            1453;
    47    0.416            2000            1509;
    48    0.425            2000            1566;
    49    0.434            2000            1623;
    50    0.443            2000            1680;
    51    0.452            2000            1736;
    52    0.460            2000            1793;
    53    0.469            2000            1849;
    54    0.478            2000            1905;
    55    0.487            2000            1961;
    56    0.496            2000            2016;
    57    0.505            2000            2071;
    58    0.514            2000            2125;
    59    0.522            2000            2178;
    60    0.531            2000            2230;
    61    0.540            2000            2281;
    62    0.549            2000            2331;
    63    0.558            2000            2380;
    64    0.567            2000            2428;
    65    0.576            2000            2474;
    66    0.584            2000            2519;
    67    0.593            2000            2563;
    68    0.602            2000            2605;
    69    0.611            2000            2645;
    70    0.620            2000            2684;
    71    0.629            2000            2722;
    72    0.638            2000            2757;
    73    0.646            2000            2791;
    74    0.655            2000            2824;
    75    0.664            2000            2854;
    76    0.673            2000            2882;
    77    0.682            2000            2909;
    78    0.691            2000            2934;
    79    0.699            2000            2957;
    80    0.708            2000            2978;
    81    0.717            2000            2996;
    82    0.726            2000            3013;
    83    0.735            2000            3028;
    84    0.744            2000            3040;
    85    0.753            2000            3051;
    86    0.761            2000            3059;
    87    0.770            2000            3065;
    88    0.779            2000            3069;
    89    0.788            2000            3071;
    90    0.797            2000            3072;
    91    0.806            2000            3071;
    92    0.815            2000            3067;
    93    0.823            2000            3060;
    94    0.832            2000            3052;
    95    0.841            2000            3042;
    96    0.850            2000            3031;
    97    0.859            2000            3018;
    98    0.868            2000            3003;
    99    0.877            2000            2988;
   100    0.885            2000            2970;
   101    0.894            2000            2951;
   102    0.903            2000            2931;
   103    0.912            2000            2910;
   104    0.921            2000            2888;
   105    0.930            2000            2864;
   106    0.939            2000            2839;
   107    0.947            2000            2813;
   108    0.956            2000            2786;
   109    0.965            2000            2758;
   110    0.974            2000            2730;
   111    0.983            2000            2700;
   112    0.992            2000            2670;
   113    1.001            2000            2639;
   114    1.009            2000            2607;
   115    1.018            2000            2575;
   116    1.027            2000            2543;
   117    1.036            2000            2509;
   118    1.045            2000            2476;
   119    1.054            2000            2442;
   120    1.063            2000            2407;
   121    1.071            2000            2373;
   122    1.080            2000            2338;
   123    1.089            2000            2303;
   124    1.098            2000            2267;
   125    1.107            2000            2232;
   126    1.116            2000            2197;
   127    1.124            2000            2161;
   128    1.133            2000            2126;
   129    1.142            2000            2091;
   130    1.151            2000            2056;
   131    1.160            2000            2022;
   132    1.169            2000            1987;
   133    1.178            2000            1953;
   134    1.186            2000            1919;
   135    1.195            2000            1886;
   136    1.204            2000            1854;
   137    1.213            2000            1821;
   138    1.222            2000            1790;
   139    1.231            2000            1759;
   140    1.240            2000            1729;
   141    1.248            2000            1699;
   142    1.257            2000            1671;
   143    1.266            2000            1643;
   144    1.275            2000            1616;
   145    1.284            2000            1591;
   146    1.293            2000            1566;
   147    1.302            2000            1542;
   148    1.310            2000            1519;
   149    1.319            2000            1498;
   150    1.328            2000            1477;
   151    1.337            2000            1458;
   152    1.346            2000            1439;
   153    1.355            2000            1422;
   154    1.364            2000            1407;
   155    1.372            2000            1392;
   156    1.381            2000            1379;
   157    1.390            2000            1367;
   158    1.399            2000            1356;
   159    1.408            2000            1347;
   160    1.417            2000            1339;
   161    1.426            2000            1333;
   162    1.434            2000            1327;
   163    1.443            2000            1323;
   164    1.452            2000            1319;
   165    1.461            2000            1317;
   166    1.470            2000            1315;
   167    1.479            2000            1315;
   168    1.488            2000            1314;
   169    1.496            2000            1314;
   170    1.505            2000            1317;
   171    1.514            2000            1320;
   172    1.523            2000            1324;
   173    1.532            2000            1328;
   174    1.541            2000            1333;
   175    1.549            2000            1340;
   176    1.558            2000            1346;
   177    1.567            2000            1354;
   178    1.576            2000            1362;
   179    1.585            2000            1371;
   180    1.594            2000            1380;
   181    1.603            2000            1390;
   182    1.611            2000            1401;
   183    1.620            2000            1412;
   184    1.629            2000            1424;
   185    1.638            2000            1436;
   186    1.647            2000            1449;
   187    1.656            2000            1462;
   188    1.665            2000            1476;
   189    1.673            2000            1490;
   190    1.682            2000            1505;
   191    1.691            2000            1520;
   192    1.700            2000            1535;
   193    1.709            2000            1551;
   194    1.718            2000            1567;
   195    1.727            2000            1583;
   196    1.735            2000            1599;
   197    1.744            2000            1616;
   198    1.753            2000            1632;
   199    1.762            2000            1649;
   200    1.771            2000            1666;
   201    1.780            2000            1683;
   202    1.789            2000            1701;
   203    1.797            2000            1718;
   204    1.806            2000            1735;
   205    1.815            2000            1753;
   206    1.824            2000            1770;
   207    1.833            2000            1787;
   208    1.842            2000            1804;
   209    1.851            2000            1821;
   210    1.859            2000            1838;
   211    1.868            2000            1855;
   212    1.877            2000            1872;
   213    1.886            2000            1889;
   214    1.895            2000            1905;
   215    1.904            2000            1922;
   216    1.913            2000            1938;
   217    1.921            2000            1953;
   218    1.930            2000            1969;
   219    1.939            2000            1984;
   220    1.948            2000            1999;
   221    1.957            2000            2013;
   222    1.966            2000            2027;
   223    1.974            2000            2041;
   224    1.983            2000            2053;
   225    1.992            2000            2066;
   226    2.001            2000            2078;
   227    2.010            2000            2089;
   228    2.019            2000            2100;
   229    2.028            2000            2110;
   230    2.036            2000            2119;
   231    2.045            2000            2128;
   232    2.054            2000            2135;
   233    2.063            2000            2143;
   234    2.072            2000            2149;
   235    2.081            2000            2155;
   236    2.090            2000            2160;
   237    2.098            2000            2164;
   238    2.107            2000            2167;
   239    2.116            2000            2170;
   240    2.125            2000            2172;
   241    2.134            2000            2173;
   242    2.143            2000            2174;
   243    2.152            2000            2174;
   244    2.160            2000            2174;
   245    2.169            2000            2173;
   246    2.178            2000            2170;
   247    2.187            2000            2167;
   248    2.196            2000            2163;
   249    2.205            2000            2159;
   250    2.214            2000            2154;
   251    2.222            2000            2148;
   252    2.231            2000            2142;
   253    2.240            2000            2135;
   254    2.249            2000            2128;
   255    2.258            2000            2120;
   256    2.267            2000            2111;
   257    2.276            2000            2103;
   258    2.284            2000            2093;
   259    2.293            2000            2083;
   260    2.302            2000            2073;
   261    2.311            2000            2062;
   262    2.320            2000            2051;
   263    2.329            2000            2039;
   264    2.338            2000            2027;
   265    2.346            2000            2014;
   266    2.355            2000            2002;
   267    2.364            2000            1989;
   268    2.373            2000            1975;
   269    2.382            2000            1962;
   270    2.391            2000            1948;
   271    2.399            2000            1934;
   272    2.408            2000            1921;
   273    2.417            2000            1907;
   274    2.426            2000            1893;
   275    2.435            2000            1880;
   276    2.444            2000            1867;
   277    2.453            2000            1853;
   278    2.461            2000            1840;
   279    2.470            2000            1827;
   280    2.479            2000            1814;
   281    2.488            2000            1801;
   282    2.497            2000            1788;
   283    2.506            2000            1775;
   284    2.515            2000            1763;
   285    2.523            2000            1750;
   286    2.532            2000            1738;
   287    2.541            2000            1726;
   288    2.550            2000            1714;
   289    2.559            2000            1702;
   290    2.568            2000            1690;
   291    2.577            2000            1678;
   292    2.585            2000            1667;
   293    2.594            2000            1656;
   294    2.603            2000            1645;
   295    2.612            2000            1635;
   296    2.621            2000            1624;
   297    2.630            2000            1615;
   298    2.639            2000            1605;
   299    2.647            2000            1596;
   300    2.656            2000            1587;
   301    2.665            2000            1579;
   302    2.674            2000            1571;
   303    2.683            2000            1563;
   304    2.692            2000            1556;
   305    2.701            2000            1549;
   306    2.709            2000            1543;
   307    2.718            2000            1537;
   308    2.727            2000            1531;
   309    2.736            2000            1526;
   310    2.745            2000            1522;
   311    2.754            2000            1517;
   312    2.763            2000            1514;
   313    2.771            2000            1510;
   314    2.780            2000            1507;
   315    2.789            2000            1505;
   316    2.798            2000            1503;
   317    2.807            2000            1501;
   318    2.816            2000            1500;
   319    2.824            2000            1500;
   320    2.833            2000            1500;
   321    2.842            2000            1500;
   322    2.851            2000            1500;
   323    2.860            2000            1500;
   324    2.869            2000            1502;
   325    2.878            2000            1505;
   326    2.886            2000            1507;
   327    2.895            2000            1510;
   328    2.904            2000            1513;
   329    2.913            2000            1517;
   330    2.922            2000            1521;
   331    2.931            2000            1526;
   332    2.940            2000            1530;
   333    2.948            2000            1536;
   334    2.957            2000            1541;
   335    2.966            2000            1547;
   336    2.975            2000            1553;
   337    2.984            2000            1559;
   338    2.993            2000            1566;
   339    3.002            2000            1573;
   340    3.010               0            1579;
   341    3.019               0            1584;
   342    3.028               0            1586;
   343    3.037               0            1587;
   344    3.046               0            1587;
   345    3.055               0            1582;
   346    3.064               0            1576;
   347    3.072               0            1568;
   348    3.081               0            1558;
   349    3.090               0            1546;
   350    3.099               0            1531;
   351    3.108               0            1515;
   352    3.117               0            1498;
   353    3.126               0            1478;
   354    3.134               0            1456;
   355    3.143               0            1433;
   356    3.152               0            1408;
   357    3.161               0            1382;
   358    3.170               0            1354;
   359    3.179               0            1325;
   360    3.188               0            1294;
   361    3.196               0            1261;
   362    3.205               0            1227;
   363    3.214               0            1191;
   364    3.223               0            1154;
   365    3.232               0            1116;
   366    3.241               0            1075;
   367    3.249               0            1034;
   368    3.258               0             991;
   369    3.267               0             947;
   370    3.276               0             901;
   371    3.285               0             855;
   372    3.294               0             807;
   373    3.303               0             759;
   374    3.311               0             709;
   375    3.320               0             659;
   376    3.329               0             608;
   377    3.338               0             557;
   378    3.347               0             505;
   379    3.356               0             453;
   380    3.365               0             400;
   381    3.373               0             347;
   382    3.382               0             294;
   383    3.391               0             241;
   384    3.400               0             188;
   385    3.409               0             135;
   386    3.418               0              82;
   387    3.427               0              30;
   388    3.435               0             -22;
   389    3.444               0             -74;
   390    3.453               0            -125;
   391    3.462               0            -175;
   392    3.471               0            -225;
   393    3.480               0            -274;
   394    3.489               0            -322;
   395    3.497               0            -368;
   396    3.506               0            -414;
   397    3.515               0            -458;
   398    3.524               0            -501;
   399    3.533               0            -543;
   400    3.542               0            -583;
   401    3.551               0            -622;
   402    3.559               0            -659;
   403    3.568               0            -694;
   404    3.577               0            -728;
   405    3.586               0            -760;
   406    3.595               0            -790;
   407    3.604               0            -818;
   408    3.613               0            -845;
   409    3.621               0            -870;
   410    3.630               0            -893;
   411    3.639               0            -913;
   412    3.648               0            -932;
   413    3.657               0            -949;
   414    3.666               0            -964;
   415    3.674               0            -977;
   416    3.683               0            -988;
   417    3.692               0            -997;
   418    3.701               0           -1005;
   419    3.710               0           -1010;
   420    3.719               0           -1014;
   421    3.728               0           -1017;
   422    3.736               0           -1018;
   423    3.745               0           -1018;
   424    3.754               0           -1018;
   425    3.763               0           -1013;
   426    3.772               0           -1008;
   427    3.781               0           -1001;
   428    3.790               0            -993;
   429    3.798               0            -983;
   430    3.807               0            -972;
   431    3.816               0            -959;
   432    3.825               0            -945;
   433    3.834               0            -930;
   434    3.843               0            -913;
   435    3.852               0            -895;
   436    3.860               0            -876;
   437    3.869               0            -856;
   438    3.878               0            -835;
   439    3.887               0            -812;
   440    3.896               0            -788;
   441    3.905               0            -764;
   442    3.914               0            -739;
   443    3.922               0            -713;
   444    3.931               0            -686;
   445    3.940               0            -658;
   446    3.949               0            -630;
   447    3.958               0            -601;
   448    3.967               0            -572;
   449    3.976               0            -542;
   450    3.984               0            -511;
   451    3.993               0            -481;
   452    4.002               0            -450;
   453    4.011               0            -418;
   454    4.020               0            -387;
   455    4.029               0            -355;
   456    4.038               0            -323;
   457    4.046               0            -290;
   458    4.055               0            -258;
   459    4.064               0            -226;
   460    4.073               0            -194;
   461    4.082               0            -162;
   462    4.091               0            -130;
   463    4.099               0             -98;
   464    4.108               0             -67;
   465    4.117               0             -36;
   466    4.126               0              -5;
   467    4.135               0              25;
   468    4.144               0              55;
   469    4.153               0              85;
   470    4.161               0             114;
   471    4.170               0             142;
   472    4.179               0             170;
   473    4.188               0             197;
   474    4.197               0             223;
   475    4.206               0             248;
   476    4.215               0             273;
   477    4.223               0             297;
   478    4.232               0             320;
   479    4.241               0             342;
   480    4.250               0             364;
   481    4.259               0             384;
   482    4.268               0             403;
   483    4.277               0             422;
   484    4.285               0             439;
   485    4.294               0             455;
   486    4.303               0             471;
   487    4.312               0             485;
   488    4.321               0             498;
   489    4.330               0             510;
   490    4.339               0             521;
   491    4.347               0             530;
   492    4.356               0             539;
   493    4.365               0             546;
   494    4.374               0             552;
   495    4.383               0             557;
   496    4.392               0             561;
   497    4.401               0             564;
   498    4.409               0             565;
   499    4.418               0             566;
   500    4.427               0             566;
   501    4.436               0             565;
   502    4.445               0             561;
   503    4.454               0             557;
   504    4.463               0             551;
   505    4.471               0             545;
   506    4.480               0             538;
   507    4.489               0             529;
   508    4.498               0             520;
   509    4.507               0             509;
   510    4.516               0             498;
   511    4.524               0             486;
   512    4.533               0             473;
   513    4.542               0             459;
   514    4.551               0             445;
   515    4.560               0             430;
   516    4.569               0             414;
   517    4.578               0             399;
   518    4.586               0             382;
   519    4.595               0             366;
   520    4.604               0             349;
   521    4.613               0             332;
   522    4.622               0             315;
   523    4.631               0             297;
   524    4.640               0             280;
   525    4.648               0             262;
   526    4.657               0             244;
   527    4.666               0             226;
   528    4.675               0             208;
   529    4.684               0             191;
   530    4.693               0             173;
   531    4.702               0             155;
   532    4.710               0             138;
   533    4.719               0             120;
   534    4.728               0             103;
   535    4.737               0              85;
   536    4.746               0              68;
   537    4.755               0              52;
   538    4.764               0              35;
   539    4.772               0              19;
   540    4.781               0               3;
   541    4.790               0             -12;
   542    4.799               0             -27;
   543    4.808               0             -42;
   544    4.817               0             -56;
   545    4.826               0             -69;
   546    4.834               0             -82;
   547    4.843               0             -95;
   548    4.852               0            -107;
   549    4.861               0            -119;
   550    4.870               0            -130;
   551    4.879               0            -141;
   552    4.888               0            -150;
   553    4.896               0            -160;
   554    4.905               0            -169;
   555    4.914               0            -178;
   556    4.923               0            -186;
   557    4.932               0            -194;
   558    4.941               0            -202;
   559    4.949               0            -210;
   560    4.958               0            -217;
   561    4.967               0            -224;
   562    4.976               0            -230;
   563    4.985               0            -237;
   564    4.994               0            -242;
   565    5.003               0            -248;
   566    5.011               0            -253;
   567    5.020               0            -258;
   568    5.029               0            -262;
