 Sample   Time     Commanded 1 Pos   Encoder 3 Pos 

[    0    0.000               0               0;
     1    0.009            2000               0;
     2    0.018            2000              -0;
     3    0.027            2000              -1;
     4    0.035            2000              -3;
     5    0.044            2000              -5;
     6    0.053            2000              -8;
     7    0.062            2000             -10;
     8    0.071            2000             -14;
     9    0.080            2000             -18;
    10    0.089            2000             -22;
    11    0.097            2000             -27;
    12    0.106            2000             -32;
    13    0.115            2000             -38;
    14    0.124            2000             -44;
    15    0.133            2000             -50;
    16    0.142            2000             -57;
    17    0.151            2000             -64;
    18    0.159            2000             -72;
    19    0.168            2000             -80;
    20    0.177            2000             -88;
    21    0.186            2000             -97;
    22    0.195            2000            -106;
    23    0.204            2000            -115;
    24    0.213            2000            -125;
    25    0.221            2000            -135;
    26    0.230            2000            -146;
    27    0.239            2000            -157;
    28    0.248            2000            -168;
    29    0.257            2000            -179;
    30    0.266            2000            -191;
    31    0.274            2000            -204;
    32    0.283            2000            -217;
    33    0.292            2000            -230;
    34    0.301            2000            -243;
    35    0.310            2000            -257;
    36    0.319            2000            -271;
    37    0.328            2000            -286;
    38    0.336            2000            -301;
    39    0.345            2000            -316;
    40    0.354            2000            -331;
    41    0.363            2000            -347;
    42    0.372            2000            -364;
    43    0.381            2000            -380;
    44    0.390            2000            -397;
    45    0.398            2000            -414;
    46    0.407            2000            -432;
    47    0.416            2000            -450;
    48    0.425            2000            -468;
    49    0.434            2000            -486;
    50    0.443            2000            -505;
    51    0.452            2000            -524;
    52    0.460            2000            -544;
    53    0.469            2000            -563;
    54    0.478            2000            -583;
    55    0.487            2000            -603;
    56    0.496            2000            -624;
    57    0.505            2000            -645;
    58    0.514            2000            -666;
    59    0.522            2000            -687;
    60    0.531            2000            -709;
    61    0.540            2000            -731;
    62    0.549            2000            -753;
    63    0.558            2000            -776;
    64    0.567            2000            -798;
    65    0.576            2000            -822;
    66    0.584            2000            -845;
    67    0.593            2000            -869;
    68    0.602            2000            -893;
    69    0.611            2000            -917;
    70    0.620            2000            -941;
    71    0.629            2000            -966;
    72    0.638            2000            -991;
    73    0.646            2000           -1017;
    74    0.655            2000           -1042;
    75    0.664            2000           -1068;
    76    0.673            2000           -1094;
    77    0.682            2000           -1121;
    78    0.691            2000           -1148;
    79    0.699            2000           -1175;
    80    0.708            2000           -1202;
    81    0.717            2000           -1230;
    82    0.726            2000           -1258;
    83    0.735            2000           -1286;
    84    0.744            2000           -1314;
    85    0.753            2000           -1343;
    86    0.761            2000           -1372;
    87    0.770            2000           -1401;
    88    0.779            2000           -1430;
    89    0.788            2000           -1460;
    90    0.797            2000           -1490;
    91    0.806            2000           -1521;
    92    0.815            2000           -1551;
    93    0.823            2000           -1582;
    94    0.832            2000           -1613;
    95    0.841            2000           -1644;
    96    0.850            2000           -1676;
    97    0.859            2000           -1708;
    98    0.868            2000           -1740;
    99    0.877            2000           -1772;
   100    0.885            2000           -1805;
   101    0.894            2000           -1837;
   102    0.903            2000           -1870;
   103    0.912            2000           -1904;
   104    0.921            2000           -1938;
   105    0.930            2000           -1971;
   106    0.939            2000           -2006;
   107    0.947            2000           -2040;
   108    0.956            2000           -2075;
   109    0.965            2000           -2110;
   110    0.974            2000           -2145;
   111    0.983            2000           -2181;
   112    0.992            2000           -2216;
   113    1.001            2000           -2253;
   114    1.009            2000           -2289;
   115    1.018            2000           -2325;
   116    1.027            2000           -2362;
   117    1.036            2000           -2399;
   118    1.045            2000           -2436;
   119    1.054            2000           -2474;
   120    1.063            2000           -2512;
   121    1.071            2000           -2550;
   122    1.080            2000           -2588;
   123    1.089            2000           -2626;
   124    1.098            2000           -2665;
   125    1.107            2000           -2704;
   126    1.116            2000           -2743;
   127    1.124            2000           -2783;
   128    1.133            2000           -2822;
   129    1.142            2000           -2862;
   130    1.151            2000           -2902;
   131    1.160            2000           -2943;
   132    1.169            2000           -2983;
   133    1.178            2000           -3024;
   134    1.186            2000           -3065;
   135    1.195            2000           -3105;
   136    1.204            2000           -3146;
   137    1.213            2000           -3188;
   138    1.222            2000           -3229;
   139    1.231            2000           -3271;
   140    1.240            2000           -3313;
   141    1.248            2000           -3354;
   142    1.257            2000           -3397;
   143    1.266            2000           -3439;
   144    1.275            2000           -3481;
   145    1.284            2000           -3524;
   146    1.293            2000           -3567;
   147    1.302            2000           -3610;
   148    1.310            2000           -3654;
   149    1.319            2000           -3697;
   150    1.328            2000           -3741;
   151    1.337            2000           -3784;
   152    1.346            2000           -3828;
   153    1.355            2000           -3873;
   154    1.364            2000           -3918;
   155    1.372            2000           -3963;
   156    1.381            2000           -4009;
   157    1.390            2000           -4054;
   158    1.399            2000           -4100;
   159    1.408            2000           -4146;
   160    1.417            2000           -4192;
   161    1.426            2000           -4239;
   162    1.434            2000           -4286;
   163    1.443            2000           -4334;
   164    1.452            2000           -4381;
   165    1.461            2000           -4429;
   166    1.470            2000           -4477;
   167    1.479            2000           -4525;
   168    1.488            2000           -4574;
   169    1.496            2000           -4623;
   170    1.505            2000           -4673;
   171    1.514            2000           -4722;
   172    1.523            2000           -4772;
   173    1.532            2000           -4822;
   174    1.541            2000           -4873;
   175    1.549            2000           -4924;
   176    1.558            2000           -4974;
   177    1.567            2000           -5025;
   178    1.576            2000           -5076;
   179    1.585            2000           -5128;
   180    1.594            2000           -5179;
   181    1.603            2000           -5230;
   182    1.611            2000           -5282;
   183    1.620            2000           -5334;
   184    1.629            2000           -5386;
   185    1.638            2000           -5438;
   186    1.647            2000           -5491;
   187    1.656            2000           -5544;
   188    1.665            2000           -5597;
   189    1.673            2000           -5650;
   190    1.682            2000           -5703;
   191    1.691            2000           -5757;
   192    1.700            2000           -5811;
   193    1.709            2000           -5865;
   194    1.718            2000           -5919;
   195    1.727            2000           -5974;
   196    1.735            2000           -6029;
   197    1.744            2000           -6084;
   198    1.753            2000           -6140;
   199    1.762            2000           -6196;
   200    1.771            2000           -6252;
