 Sample   Time     Commanded 2 Pos  Encoder 2 Pos   Control Effort 2

[    0    0.000               0               0          0.1346;
     1    0.044            1000             174         10.0021;
     2    0.089            1000             620          0.4896;
     3    0.133            1000             876          1.6346;
     4    0.177            1000             837          5.2882;
     5    0.221            1000             791          5.2900;
     6    0.266            1000             805          4.5711;
     7    0.310            1000             821          4.5165;
     8    0.354            1000             825          4.5861;
     9    0.398            1000             827          4.7222;
    10    0.443            1000             828          4.7692;
    11    0.487            1000             831          4.7231;
    12    0.531            1000             836          4.6358;
    13    0.576            1000             840          4.7042;
    14    0.620            1000             841          4.7998;
    15    0.664            1000             844          4.7454;
    16    0.708            1000             850          4.6755;
    17    0.753            1000             853          4.7549;
    18    0.797            1000             854          4.6310;
    19    0.841            1000             856          4.6853;
    20    0.885            1000             861          4.8144;
    21    0.930            1000             864          4.7607;
    22    0.974            1000             864          4.6777;
    23    1.018            1000             868          4.6774;
    24    1.063            1000             872          4.7567;
    25    1.107            1000             875          4.8281;
    26    1.151            1000             875          4.8626;
    27    1.195            1000             880          4.6777;
    28    1.240            1000             885          4.7512;
    29    1.284            1000             887          4.7814;
    30    1.328            1000             885          4.8501;
    31    1.372            1000             888          4.3950;
    32    1.417            1000             895          4.6074;
    33    1.461            1000             898          4.9524;
    34    1.505            1000             897          4.6233;
    35    1.549            1000             902          4.6929;
    36    1.594            1000             906          4.6841;
    37    1.638            1000             906          4.8324;
    38    1.682            1000             907          4.7900;
    39    1.727            1000             911          4.6236;
    40    1.771            1000             914          4.6477;
    41    1.815            1000             915          4.8306;
    42    1.859            1000             916          4.7647;
    43    1.904            1000             921          4.6352;
    44    1.948            1000             924          4.6151;
    45    1.992            1000             925          4.8864;
    46    2.036            1000             926          4.7225;
    47    2.081            1000             930          4.5904;
    48    2.125            1000             933          4.6132;
    49    2.169            1000             932          4.6758;
    50    2.214            1000             934          4.5748;
    51    2.258            1000             938          4.5888;
    52    2.302            1000             941          4.5873;
    53    2.346            1000             940          4.6282;
    54    2.391            1000             942          4.5681;
    55    2.435            1000             946          4.5269;
    56    2.479            1000             948          4.5156;
    57    2.523            1000             947          4.5867;
    58    2.568            1000             950          4.5241;
    59    2.612            1000             953          4.4683;
    60    2.656            1000             954          4.5043;
    61    2.701            1000             954          4.7295;
    62    2.745            1000             957          4.4481;
    63    2.789            1000             959          4.4161;
    64    2.833            1000             960          4.4615;
    65    2.878            1000             960          4.4881;
    66    2.922            1000             963          4.3492;
    67    2.966            1000             965          4.3675;
    68    3.010            1000             966          4.6862;
    69    3.055            1000             966          4.4527;
    70    3.099            1000             968          4.3367;
    71    3.143            1000             970          4.3520;
    72    3.188            1000             970          4.3864;
    73    3.232            1000             970          4.4084;
    74    3.276            1000             973          4.1853;
    75    3.320            1000             974          4.5308;
    76    3.365            1000             975          4.3452;
    77    3.409            1000             975          4.1795;
    78    3.453            1000             977          4.3275;
    79    3.497            1000             976          4.5339;
    80    3.542            1000             977          4.3477;
    81    3.586            1000             979          4.1722;
    82    3.630            1000             980          4.3074;
    83    3.674            1000             983          3.9918;
    84    3.719            1000             982          4.2643;
    85    3.763            1000             983          4.2720;
    86    3.807            1000             985          4.4362;
    87    3.852            1000             986          4.2265;
    88    3.896            1000             986          4.2326;
    89    3.940            1000             987          4.2384;
    90    3.984            1000             988          4.2933;
    91    4.029            1000             989          4.0134;
    92    4.073            1000             988          4.1951;
    93    4.117            1000             990          4.3324;
    94    4.161            1000             992          3.9686;
    95    4.206            1000             992          4.3022;
    96    4.250            1000             992          3.9756;
    97    4.294            1000             992          4.3327;
    98    4.339            1000             996          3.9231;
    99    4.383            1000             995          4.2787;
   100    4.427            1000             994          3.9274;
   101    4.471            1000             996          4.1065;
   102    4.516            1000             996          4.0888;
   103    4.560            1000             996          4.0904;
   104    4.604            1000             996          4.0922;
   105    4.648            1000             998          4.0742;
   106    4.693            1000             999          3.7473;
   107    4.737            1000            1000          4.0360;
   108    4.781            1000             997          4.2524;
   109    4.826            1000            1000          3.8288;
   110    4.870            1000            1001          4.1883;
   111    4.914            1000            1001          3.9976;
   112    4.958            1000             999          4.0171;
   113    5.003            1000            1002          3.7323;
   114    5.047               0             704         -1.4832;
   115    5.091               0             175          7.0772;
   116    5.135               0              85          0.6871;
   117    5.180               0             203         -2.0018;
   118    5.224               0             211         -0.6377;
   119    5.268               0             189         -0.4353;
   120    5.313               0             184         -0.4722;
   121    5.357               0             185         -0.5812;
   122    5.401               0             183         -0.6416;
   123    5.445               0             178         -0.5385;
   124    5.490               0             176         -0.5827;
   125    5.534               0             175         -0.6859;
   126    5.578               0             172         -0.6618;
   127    5.622               0             167         -0.5736;
   128    5.667               0             163         -0.6630;
   129    5.711               0             162         -0.7415;
   130    5.755               0             159         -0.7063;
   131    5.799               0             155         -0.6514;
   132    5.844               0             152         -0.6755;
   133    5.888               0             151         -0.7756;
   134    5.932               0             147         -0.7244;
   135    5.977               0             143         -0.6874;
   136    6.021               0             140         -0.7161;
   137    6.065               0             139         -0.7631;
   138    6.109               0             136         -0.7286;
   139    6.154               0             131         -0.6838;
   140    6.198               0             128         -0.7366;
   141    6.242               0             128         -0.8028;
   142    6.286               0             124         -0.7341;
   143    6.331               0             120         -0.6893;
   144    6.375               0             118         -0.7656;
   145    6.419               0             117         -0.8040;
   146    6.464               0             113         -0.7024;
   147    6.508               0             109         -0.7091;
   148    6.552               0             108         -0.7656;
   149    6.596               0             107         -0.7906;
   150    6.641               0             103         -0.6774;
   151    6.685               0              99         -0.6563;
   152    6.729               0              98         -0.7479;
   153    6.773               0              97         -0.7766;
   154    6.818               0              93         -0.6664;
   155    6.862               0              89         -0.6520;
   156    6.906               0              89         -0.7326;
   157    6.951               0              87         -0.6224;
   158    6.995               0              83         -0.6422;
   159    7.039               0              80         -0.6313;
   160    7.083               0              80         -0.7015;
   161    7.128               0              78         -0.5528;
   162    7.172               0              74         -0.6001;
   163    7.216               0              71         -0.6270;
   164    7.260               0              71         -0.6548;
   165    7.305               0              69         -0.4985;
   166    7.349               0              65         -0.5668;
   167    7.393               0              63         -0.5745;
   168    7.438               0              63         -0.4457;
   169    7.482               0              61         -0.5635;
   170    7.526               0              57         -0.5021;
   171    7.570               0              56         -0.5360;
   172    7.615               0              56         -0.5766;
   173    7.659               0              53         -0.5299;
   174    7.703               0              50         -0.4426;
   175    7.747               0              48         -0.4634;
   176    7.792               0              48         -0.5177;
   177    7.836               0              46         -0.4567;
   178    7.880               0              43         -0.3962;
   179    7.924               0              42         -0.4481;
   180    7.969               0              41         -0.4661;
   181    8.013               0              39         -0.3129;
   182    8.057               0              36         -0.3361;
   183    8.102               0              35         -0.3782;
   184    8.146               0              35         -0.3932;
   185    8.190               0              32         -0.3089;
   186    8.234               0              29         -0.3233;
   187    8.279               0              29         -0.3159;
   188    8.323               0              29         -0.3284;
   189    8.367               0              26         -0.2286;
