 Sample   Time     Commanded 1 Pos   Encoder 3 Pos 

[    0    0.000               0               1;
     1    0.044            2000              11;
     2    0.089            2000              48;
     3    0.133            2000             112;
     4    0.177            2000             203;
     5    0.221            2000             319;
     6    0.266            2000             460;
     7    0.310            2000             626;
     8    0.354            2000             808;
     9    0.398            2000             991;
    10    0.443            2000            1160;
    11    0.487            2000            1311;
    12    0.531            2000            1441;
    13    0.576            2000            1552;
    14    0.620            2000            1644;
    15    0.664            2000            1721;
    16    0.708            2000            1783;
    17    0.753            2000            1833;
    18    0.797            2000            1873;
    19    0.841            2000            1906;
    20    0.885            2000            1931;
    21    0.930            2000            1951;
    22    0.974            2000            1967;
    23    1.018            2000            1979;
    24    1.063            2000            1988;
    25    1.107            2000            1995;
    26    1.151            2000            2001;
    27    1.195            2000            2005;
    28    1.240            2000            2009;
    29    1.284            2000            2011;
    30    1.328            2000            2013;
    31    1.372            2000            2014;
    32    1.417            2000            2015;
    33    1.461            2000            2016;
    34    1.505            2000            2016;
    35    1.549            2000            2017;
    36    1.594            2000            2018;
    37    1.638            2000            2018;
    38    1.682            2000            2018;
    39    1.727            2000            2018;
    40    1.771            2000            2018;
    41    1.815            2000            2019;
    42    1.859            2000            2019;
    43    1.904            2000            2019;
    44    1.948            2000            2019;
    45    1.992            2000            2019;
    46    2.036            2000            2020;
    47    2.081            2000            2020;
    48    2.125            2000            2020;
    49    2.169            2000            2020;
    50    2.214            2000            2020;
    51    2.258            2000            2020;
    52    2.302            2000            2020;
    53    2.346            2000            2020;
    54    2.391            2000            2020;
    55    2.435            2000            2021;
    56    2.479            2000            2021;
    57    2.523            2000            2021;
    58    2.568            2000            2021;
    59    2.612            2000            2021;
    60    2.656            2000            2021;
    61    2.701            2000            2021;
    62    2.745            2000            2021;
    63    2.789            2000            2021;
    64    2.833            2000            2021;
    65    2.878            2000            2021;
    66    2.922            2000            2021;
    67    2.966            2000            2021;
    68    3.010               0            2021;
    69    3.055               0            1987;
    70    3.099               0            1890;
    71    3.143               0            1732;
    72    3.188               0            1533;
    73    3.232               0            1322;
    74    3.276               0            1119;
    75    3.320               0             934;
    76    3.365               0             770;
    77    3.409               0             630;
    78    3.453               0             511;
    79    3.497               0             412;
    80    3.542               0             331;
    81    3.586               0             265;
    82    3.630               0             212;
    83    3.674               0             170;
    84    3.719               0             137;
    85    3.763               0             110;
    86    3.807               0              89;
    87    3.852               0              73;
    88    3.896               0              60;
    89    3.940               0              51;
    90    3.984               0              43;
    91    4.029               0              37;
    92    4.073               0              33;
    93    4.117               0              29;
    94    4.161               0              26;
    95    4.206               0              24;
    96    4.250               0              23;
    97    4.294               0              21;
    98    4.339               0              20;
    99    4.383               0              20;
   100    4.427               0              19;
   101    4.471               0              18;
   102    4.516               0              18;
   103    4.560               0              18;
   104    4.604               0              16;
   105    4.648               0              16;
   106    4.693               0              16;
   107    4.737               0              16;
   108    4.781               0              16;
   109    4.826               0              16;
   110    4.870               0              16;
   111    4.914               0              15;
   112    4.958               0              15;
   113    5.003               0              14;
   114    5.047               0              14;
   115    5.091               0              14;
   116    5.135               0              14;
   117    5.180               0              14;
   118    5.224               0              14;
   119    5.268               0              14;
   120    5.313               0              14;
   121    5.357               0              13;
   122    5.401               0              13;
   123    5.445               0              13;
   124    5.490               0              13;
   125    5.534               0              13;
   126    5.578               0              13;
   127    5.622               0              13;
   128    5.667               0              13;
   129    5.711               0              13;
   130    5.755               0              13;
   131    5.799               0              13;
   132    5.844               0              13;
   133    5.888               0              12;
   134    5.932               0              12;
   135    5.977               0              12;
   136    6.021           -2000              11;
   137    6.065           -2000             -35;
   138    6.109           -2000            -140;
   139    6.154           -2000            -301;
   140    6.198           -2000            -503;
   141    6.242           -2000            -715;
   142    6.286           -2000            -919;
