 Sample   Time     Commanded 2 Pos  Encoder 2 Pos 

[    0    0.000               0              40;
     1    0.044            2000             105;
     2    0.089            2000             286;
     3    0.133            2000             504;
     4    0.177            2000             654;
     5    0.221            2000             661;
     6    0.266            2000             532;
     7    0.310            2000             338;
     8    0.354            2000             184;
     9    0.398            2000             145;
    10    0.443            2000             229;
    11    0.487            2000             389;
    12    0.531            2000             547;
    13    0.576            2000             626;
    14    0.620            2000             587;
    15    0.664            2000             463;
    16    0.708            2000             327;
    17    0.753            2000             247;
    18    0.797            2000             258;
    19    0.841            2000             349;
    20    0.885            2000             473;
    21    0.930            2000             569;
    22    0.974            2000             585;
    23    1.018            2000             526;
    24    1.063            2000             436;
    25    1.107            2000             359;
    26    1.151            2000             331;
    27    1.195            2000             365;
    28    1.240            2000             439;
    29    1.284            2000             512;
    30    1.328            2000             545;
    31    1.372            2000             529;
    32    1.417            2000             486;
    33    1.461            2000             442;
    34    1.505            2000             416;
    35    1.549            2000             423;
    36    1.594            2000             455;
    37    1.638            2000             490;
    38    1.682            2000             508;
    39    1.727            2000             505;
    40    1.771            2000             496;
    41    1.815            2000             488;
    42    1.859            2000             486;
    43    1.904            2000             490;
    44    1.948            2000             498;
    45    1.992            2000             501;
    46    2.036            2000             497;
    47    2.081            2000             498;
    48    2.125            2000             504;
    49    2.169            2000             507;
    50    2.214            2000             505;
    51    2.258            2000             507;
    52    2.302            2000             513;
    53    2.346            2000             517;
    54    2.391            2000             516;
    55    2.435            2000             518;
    56    2.479            2000             525;
    57    2.523            2000             529;
    58    2.568            2000             529;
    59    2.612            2000             530;
    60    2.656            2000             537;
    61    2.701            2000             542;
    62    2.745            2000             542;
    63    2.789            2000             544;
    64    2.833            2000             550;
    65    2.878            2000             554;
    66    2.922            2000             555;
    67    2.966            2000             557;
    68    3.010               0             560;
    69    3.055               0             474;
    70    3.099               0             265;
    71    3.143               0              43;
    72    3.188               0             -78;
    73    3.232               0             -46;
    74    3.276               0             110;
    75    3.320               0             311;
    76    3.365               0             459;
    77    3.409               0             477;
    78    3.453               0             365;
    79    3.497               0             193;
    80    3.542               0              52;
    81    3.586               0               7;
    82    3.630               0              73;
    83    3.674               0             210;
    84    3.719               0             352;
    85    3.763               0             420;
    86    3.807               0             384;
    87    3.852               0             280;
    88    3.896               0             166;
    89    3.940               0              97;
    90    3.984               0             103;
    91    4.029               0             177;
    92    4.073               0             277;
    93    4.117               0             346;
    94    4.161               0             350;
    95    4.206               0             301;
    96    4.250               0             234;
    97    4.294               0             181;
    98    4.339               0             169;
    99    4.383               0             201;
   100    4.427               0             253;
   101    4.471               0             293;
   102    4.516               0             299;
   103    4.560               0             280;
   104    4.604               0             255;
   105    4.648               0             235;
   106    4.693               0             230;
   107    4.737               0             242;
   108    4.781               0             257;
   109    4.826               0             262;
   110    4.870               0             255;
   111    4.914               0             252;
   112    4.958               0             253;
   113    5.003               0             251;
   114    5.047               0             251;
   115    5.091               0             255;
   116    5.135               0             256;
   117    5.180               0             250;
   118    5.224               0             247;
   119    5.268               0             252;
   120    5.313               0             255;
   121    5.357               0             250;
   122    5.401               0             247;
   123    5.445               0             251;
   124    5.490               0             255;
   125    5.534               0             250;
   126    5.578               0             246;
   127    5.622               0             251;
   128    5.667               0             254;
   129    5.711               0             250;
   130    5.755               0             246;
   131    5.799               0             251;
   132    5.844               0             254;
   133    5.888               0             249;
   134    5.932               0             246]
