 Sample   Time     Commanded 2 Pos  Encoder 2 Pos 

[    0    0.000               0              26;
     1    0.044            2000              98;
     2    0.089            2000             271;
     3    0.133            2000             457;
     4    0.177            2000             575;
     5    0.221            2000             576;
     6    0.266            2000             484;
     7    0.310            2000             347;
     8    0.354            2000             239;
     9    0.398            2000             219;
    10    0.443            2000             288;
    11    0.487            2000             399;
    12    0.531            2000             501;
    13    0.576            2000             551;
    14    0.620            2000             527;
    15    0.664            2000             449;
    16    0.708            2000             363;
    17    0.753            2000             319;
    18    0.797            2000             335;
    19    0.841            2000             392;
    20    0.885            2000             461;
    21    0.930            2000             514;
    22    0.974            2000             525;
    23    1.018            2000             492;
    24    1.063            2000             444;
    25    1.107            2000             411;
    26    1.151            2000             407;
    27    1.195            2000             427;
    28    1.240            2000             456;
    29    1.284            2000             486;
    30    1.328            2000             500;
    31    1.372            2000             492;
    32    1.417            2000             478;
    33    1.461            2000             474;
    34    1.505            2000             478;
    35    1.549            2000             479;
    36    1.594            2000             482;
    37    1.638            2000             488;
    38    1.682            2000             491;
    39    1.727            2000             490;
    40    1.771            2000             492;
    41    1.815            2000             498;
    42    1.859            2000             503;
    43    1.904            2000             502;
    44    1.948            2000             504;
    45    1.992            2000             510;
    46    2.036            2000             516;
    47    2.081            2000             517;
    48    2.125            2000             518;
    49    2.169            2000             523;
    50    2.214            2000             528;
    51    2.258            2000             528;
    52    2.302            2000             530;
    53    2.346            2000             536;
    54    2.391            2000             541;
    55    2.435            2000             541;
    56    2.479            2000             542;
    57    2.523            2000             548;
    58    2.568            2000             551;
    59    2.612            2000             550;
    60    2.656            2000             554;
    61    2.701            2000             560;
    62    2.745            2000             563;
    63    2.789            2000             562;
    64    2.833            2000             566;
    65    2.878            2000             573;
    66    2.922            2000             577;
    67    2.966            2000             576;
    68    3.010               0             573;
    69    3.055               0             481;
    70    3.099               0             273;
    71    3.143               0              51;
    72    3.188               0             -69;
    73    3.232               0             -29;
    74    3.276               0             133;
    75    3.320               0             332;
    76    3.365               0             473;
    77    3.409               0             490;
    78    3.453               0             380;
    79    3.497               0             207;
    80    3.542               0              62;
    81    3.586               0              20;
    82    3.630               0              89;
    83    3.674               0             224;
    84    3.719               0             360;
    85    3.763               0             431;
    86    3.807               0             401;
    87    3.852               0             297;
    88    3.896               0             180;
    89    3.940               0             111;
    90    3.984               0             118;
    91    4.029               0             186;
    92    4.073               0             280;
    93    4.117               0             353;
    94    4.161               0             365;
    95    4.206               0             317;
    96    4.250               0             249;
    97    4.294               0             199;
    98    4.339               0             185;
    99    4.383               0             210;
   100    4.427               0             256;
   101    4.471               0             298;
   102    4.516               0             311;
   103    4.560               0             292;
   104    4.604               0             268;
   105    4.648               0             253;
   106    4.693               0             250;
   107    4.737               0             256;
   108    4.781               0             267;
   109    4.826               0             272;
   110    4.870               0             267;
   111    4.914               0             260;
   112    4.958               0             262;
   113    5.003               0             267;
   114    5.047               0             263;
   115    5.091               0             260;
   116    5.135               0             264;
   117    5.180               0             266;
   118    5.224               0             261;
   119    5.268               0             258;
   120    5.313               0             263;
   121    5.357               0             266;
   122    5.401               0             260;
   123    5.445               0             257;
   124    5.490               0             261;
   125    5.534               0             264;
   126    5.578               0             259;
   127    5.622               0             256;
   128    5.667               0             260;
   129    5.711               0             262;
   130    5.755               0             257;
   131    5.799               0             254;
   132    5.844               0             259;
   133    5.888               0             261;
   134    5.932               0             255]
