 Sample   Time     Commanded 1 Pos   Encoder 3 Pos 

[    0    0.000               0               5;
     1    0.009            2000               5;
     2    0.018            2000               7;
     3    0.027            2000              11;
     4    0.035            2000              16;
     5    0.044            2000              22;
     6    0.053            2000              30;
     7    0.062            2000              39;
     8    0.071            2000              49;
     9    0.080            2000              61;
    10    0.089            2000              74;
    11    0.097            2000              89;
    12    0.106            2000             105;
    13    0.115            2000             122;
    14    0.124            2000             140;
    15    0.133            2000             160;
    16    0.142            2000             181;
    17    0.151            2000             203;
    18    0.159            2000             227;
    19    0.168            2000             252;
    20    0.177            2000             278;
    21    0.186            2000             306;
    22    0.195            2000             335;
    23    0.204            2000             365;
    24    0.213            2000             397;
    25    0.221            2000             430;
    26    0.230            2000             465;
    27    0.239            2000             500;
    28    0.248            2000             537;
    29    0.257            2000             576;
    30    0.266            2000             616;
    31    0.274            2000             657;
    32    0.283            2000             699;
    33    0.292            2000             743;
    34    0.301            2000             788;
    35    0.310            2000             834;
    36    0.319            2000             882;
    37    0.328            2000             931;
    38    0.336            2000             981;
    39    0.345            2000            1032;
    40    0.354            2000            1085;
    41    0.363            2000            1138;
    42    0.372            2000            1192;
    43    0.381            2000            1246;
    44    0.390            2000            1301;
    45    0.398            2000            1357;
    46    0.407            2000            1413;
    47    0.416            2000            1470;
    48    0.425            2000            1527;
    49    0.434            2000            1584;
    50    0.443            2000            1641;
    51    0.452            2000            1698;
    52    0.460            2000            1755;
    53    0.469            2000            1812;
    54    0.478            2000            1869;
    55    0.487            2000            1925;
    56    0.496            2000            1981;
    57    0.505            2000            2036;
    58    0.514            2000            2090;
    59    0.522            2000            2144;
    60    0.531            2000            2197;
    61    0.540            2000            2250;
    62    0.549            2000            2301;
    63    0.558            2000            2351;
    64    0.567            2000            2400;
    65    0.576            2000            2448;
    66    0.584            2000            2495;
    67    0.593            2000            2540;
    68    0.602            2000            2584;
    69    0.611            2000            2626;
    70    0.620            2000            2666;
    71    0.629            2000            2705;
    72    0.638            2000            2743;
    73    0.646            2000            2778;
    74    0.655            2000            2812;
    75    0.664            2000            2843;
    76    0.673            2000            2873;
    77    0.682            2000            2901;
    78    0.691            2000            2926;
    79    0.699            2000            2950;
    80    0.708            2000            2971;
    81    0.717            2000            2990;
    82    0.726            2000            3007;
    83    0.735            2000            3022;
    84    0.744            2000            3035;
    85    0.753            2000            3045;
    86    0.761            2000            3053;
    87    0.770            2000            3059;
    88    0.779            2000            3062;
    89    0.788            2000            3064;
    90    0.797            2000            3064;
    91    0.806            2000            3062;
    92    0.815            2000            3056;
    93    0.823            2000            3049;
    94    0.832            2000            3040;
    95    0.841            2000            3029;
    96    0.850            2000            3016;
    97    0.859            2000            3002;
    98    0.868            2000            2986;
    99    0.877            2000            2968;
   100    0.885            2000            2949;
   101    0.894            2000            2929;
   102    0.903            2000            2907;
   103    0.912            2000            2883;
   104    0.921            2000            2859;
   105    0.930            2000            2833;
   106    0.939            2000            2806;
   107    0.947            2000            2777;
   108    0.956            2000            2748;
   109    0.965            2000            2718;
   110    0.974            2000            2686;
   111    0.983            2000            2654;
   112    0.992            2000            2621;
   113    1.001            2000            2587;
   114    1.009            2000            2552;
   115    1.018            2000            2517;
   116    1.027            2000            2481;
   117    1.036            2000            2445;
   118    1.045            2000            2408;
   119    1.054            2000            2371;
   120    1.063            2000            2333;
   121    1.071            2000            2296;
   122    1.080            2000            2258;
   123    1.089            2000            2220;
   124    1.098            2000            2182;
   125    1.107            2000            2143;
   126    1.116            2000            2106;
   127    1.124            2000            2068;
   128    1.133            2000            2030;
   129    1.142            2000            1993;
   130    1.151            2000            1956;
   131    1.160            2000            1919;
   132    1.169            2000            1883;
   133    1.178            2000            1848;
   134    1.186            2000            1813;
   135    1.195            2000            1779;
   136    1.204            2000            1746;
   137    1.213            2000            1713;
   138    1.222            2000            1681;
   139    1.231            2000            1650;
   140    1.240            2000            1620;
   141    1.248            2000            1591;
   142    1.257            2000            1563;
   143    1.266            2000            1537;
   144    1.275            2000            1511;
   145    1.284            2000            1486;
   146    1.293            2000            1463;
   147    1.302            2000            1441;
   148    1.310            2000            1420;
   149    1.319            2000            1401;
   150    1.328            2000            1382;
   151    1.337            2000            1366;
   152    1.346            2000            1350;
   153    1.355            2000            1335;
   154    1.364            2000            1323;
   155    1.372            2000            1311;
   156    1.381            2000            1301;
   157    1.390            2000            1292;
   158    1.399            2000            1285;
   159    1.408            2000            1279;
   160    1.417            2000            1274;
   161    1.426            2000            1270;
   162    1.434            2000            1267;
   163    1.443            2000            1265;
   164    1.452            2000            1264;
   165    1.461            2000            1264;
   166    1.470            2000            1264;
   167    1.479            2000            1266;
   168    1.488            2000            1268;
   169    1.496            2000            1272;
   170    1.505            2000            1277;
   171    1.514            2000            1282;
   172    1.523            2000            1289;
   173    1.532            2000            1296;
   174    1.541            2000            1304;
   175    1.549            2000            1313;
   176    1.558            2000            1322;
   177    1.567            2000            1333;
   178    1.576            2000            1344;
   179    1.585            2000            1356;
   180    1.594            2000            1368;
   181    1.603            2000            1381;
   182    1.611            2000            1395;
   183    1.620            2000            1409;
   184    1.629            2000            1424;
   185    1.638            2000            1440;
   186    1.647            2000            1456;
   187    1.656            2000            1472;
   188    1.665            2000            1489;
   189    1.673            2000            1506;
   190    1.682            2000            1524;
   191    1.691            2000            1542;
   192    1.700            2000            1560;
   193    1.709            2000            1579;
   194    1.718            2000            1597;
   195    1.727            2000            1617;
   196    1.735            2000            1636;
   197    1.744            2000            1655;
   198    1.753            2000            1674;
   199    1.762            2000            1694;
   200    1.771            2000            1713;
   201    1.780            2000            1732;
   202    1.789            2000            1752;
   203    1.797            2000            1771;
   204    1.806            2000            1790;
   205    1.815            2000            1809;
   206    1.824            2000            1828;
   207    1.833            2000            1846;
   208    1.842            2000            1864;
   209    1.851            2000            1882;
   210    1.859            2000            1900;
   211    1.868            2000            1917;
   212    1.877            2000            1933;
   213    1.886            2000            1950;
   214    1.895            2000            1966;
   215    1.904            2000            1981;
   216    1.913            2000            1996;
   217    1.921            2000            2010;
   218    1.930            2000            2024;
   219    1.939            2000            2037;
   220    1.948            2000            2050;
   221    1.957            2000            2062;
   222    1.966            2000            2073;
   223    1.974            2000            2084;
   224    1.983            2000            2094;
   225    1.992            2000            2104;
   226    2.001            2000            2113;
   227    2.010            2000            2121;
   228    2.019            2000            2128;
   229    2.028            2000            2135;
   230    2.036            2000            2141;
   231    2.045            2000            2146;
   232    2.054            2000            2150;
   233    2.063            2000            2154;
   234    2.072            2000            2157;
   235    2.081            2000            2160;
   236    2.090            2000            2161;
   237    2.098            2000            2162;
   238    2.107            2000            2163;
   239    2.116            2000            2163;
   240    2.125            2000            2163;
   241    2.134            2000            2162;
   242    2.143            2000            2159;
   243    2.152            2000            2157;
   244    2.160            2000            2153;
   245    2.169            2000            2149;
   246    2.178            2000            2145;
   247    2.187            2000            2140;
   248    2.196            2000            2134;
   249    2.205            2000            2128;
   250    2.214            2000            2122;
