 Sample   Time     Commanded 1 Pos   Encoder 3 Pos 

[    0    0.000               0               1;
     1    0.009            2000               1;
     2    0.018            2000               1;
     3    0.027            2000               1;
     4    0.035            2000              -1;
     5    0.044            2000              -3;
     6    0.053            2000              -6;
     7    0.062            2000              -8;
     8    0.071            2000             -11;
     9    0.080            2000             -14;
    10    0.089            2000             -18;
    11    0.097            2000             -22;
    12    0.106            2000             -26;
    13    0.115            2000             -30;
    14    0.124            2000             -35;
    15    0.133            2000             -40;
    16    0.142            2000             -46;
    17    0.151            2000             -51;
    18    0.159            2000             -57;
    19    0.168            2000             -63;
    20    0.177            2000             -70;
    21    0.186            2000             -77;
    22    0.195            2000             -84;
    23    0.204            2000             -91;
    24    0.213            2000             -99;
    25    0.221            2000            -107;
    26    0.230            2000            -115;
    27    0.239            2000            -124;
    28    0.248            2000            -133;
    29    0.257            2000            -142;
    30    0.266            2000            -151;
    31    0.274            2000            -161;
    32    0.283            2000            -170;
    33    0.292            2000            -181;
    34    0.301            2000            -191;
    35    0.310            2000            -202;
    36    0.319            2000            -213;
    37    0.328            2000            -224;
    38    0.336            2000            -235;
    39    0.345            2000            -247;
    40    0.354            2000            -259;
    41    0.363            2000            -271;
    42    0.372            2000            -284;
    43    0.381            2000            -297;
    44    0.390            2000            -310;
    45    0.398            2000            -323;
    46    0.407            2000            -337;
    47    0.416            2000            -351;
    48    0.425            2000            -365;
    49    0.434            2000            -380;
    50    0.443            2000            -395;
    51    0.452            2000            -410;
    52    0.460            2000            -425;
    53    0.469            2000            -441;
    54    0.478            2000            -456;
    55    0.487            2000            -473;
    56    0.496            2000            -489;
    57    0.505            2000            -506;
    58    0.514            2000            -523;
    59    0.522            2000            -540;
    60    0.531            2000            -558;
    61    0.540            2000            -576;
    62    0.549            2000            -594;
    63    0.558            2000            -613;
    64    0.567            2000            -632;
    65    0.576            2000            -651;
    66    0.584            2000            -670;
    67    0.593            2000            -690;
    68    0.602            2000            -710;
    69    0.611            2000            -730;
    70    0.620            2000            -751;
    71    0.629            2000            -772;
    72    0.638            2000            -793;
    73    0.646            2000            -815;
    74    0.655            2000            -837;
    75    0.664            2000            -859;
    76    0.673            2000            -881;
    77    0.682            2000            -904;
    78    0.691            2000            -927;
    79    0.699            2000            -951;
    80    0.708            2000            -974;
    81    0.717            2000            -998;
    82    0.726            2000           -1022;
    83    0.735            2000           -1047;
    84    0.744            2000           -1072;
    85    0.753            2000           -1097;
    86    0.761            2000           -1123;
    87    0.770            2000           -1149;
    88    0.779            2000           -1175;
    89    0.788            2000           -1201;
    90    0.797            2000           -1228;
    91    0.806            2000           -1255;
    92    0.815            2000           -1282;
    93    0.823            2000           -1310;
    94    0.832            2000           -1338;
    95    0.841            2000           -1366;
    96    0.850            2000           -1394;
    97    0.859            2000           -1423;
    98    0.868            2000           -1451;
    99    0.877            2000           -1480;
   100    0.885            2000           -1510;
   101    0.894            2000           -1539;
   102    0.903            2000           -1569;
   103    0.912            2000           -1599;
   104    0.921            2000           -1629;
   105    0.930            2000           -1660;
   106    0.939            2000           -1690;
   107    0.947            2000           -1721;
   108    0.956            2000           -1753;
   109    0.965            2000           -1784;
   110    0.974            2000           -1816;
   111    0.983            2000           -1847;
   112    0.992            2000           -1880;
   113    1.001            2000           -1912;
   114    1.009            2000           -1945;
   115    1.018            2000           -1978;
   116    1.027            2000           -2011;
   117    1.036            2000           -2045;
   118    1.045            2000           -2078;
   119    1.054            2000           -2112;
   120    1.063            2000           -2147;
   121    1.071            2000           -2181;
   122    1.080            2000           -2216;
   123    1.089            2000           -2251;
   124    1.098            2000           -2286;
   125    1.107            2000           -2321;
   126    1.116            2000           -2356;
   127    1.124            2000           -2392;
   128    1.133            2000           -2428;
   129    1.142            2000           -2464;
